DATE,DTB3,DTB4WK,DTB6,DTB1YR
02/01/2004,0.91,0.86,1,
05/01/2004,0.9,0.87,1.03,
06/01/2004,0.9,0.86,1.01,
07/01/2004,0.89,0.86,1,
08/01/2004,0.86,0.86,0.99,
09/01/2004,0.85,0.86,0.95,
12/01/2004,0.88,0.86,0.96,
13/01/2004,0.87,0.85,0.95,
14/01/2004,0.86,0.84,0.94,
15/01/2004,0.86,0.8,0.94,
16/01/2004,0.87,0.78,0.95,
19/01/2004,.,.,.,
20/01/2004,0.88,0.77,0.96,
21/01/2004,0.87,0.8,0.94,
22/01/2004,0.86,0.72,0.94,
23/01/2004,0.88,0.77,0.94,
26/01/2004,0.89,0.79,0.97,
27/01/2004,0.89,0.87,0.96,
28/01/2004,0.92,0.87,0.98,
29/01/2004,0.92,0.85,1,
30/01/2004,0.9,0.83,0.99,
02/02/2004,0.93,0.85,1.01,
03/02/2004,0.92,0.91,1,
04/02/2004,0.92,0.89,0.99,
05/02/2004,0.92,0.87,1,
06/02/2004,0.91,0.87,0.99,
09/02/2004,0.93,0.87,1,
10/02/2004,0.93,0.89,1,
11/02/2004,0.91,0.87,0.98,
12/02/2004,0.91,0.88,0.98,
13/02/2004,0.9,0.88,0.96,
16/02/2004,.,.,.,
17/02/2004,0.93,0.88,0.98,
18/02/2004,0.92,0.91,0.98,
19/02/2004,0.92,0.91,0.98,
20/02/2004,0.92,0.91,0.99,
23/02/2004,0.95,0.93,1,
24/02/2004,0.95,0.95,1,
25/02/2004,0.94,0.94,1,
26/02/2004,0.94,0.95,1,
27/02/2004,0.94,0.93,0.99,
01/03/2004,0.95,0.95,1,
02/03/2004,0.95,0.97,1.01,
03/03/2004,0.95,0.96,1,
04/03/2004,0.94,0.96,1,
05/03/2004,0.93,0.94,0.97,
08/03/2004,0.95,0.94,0.99,
09/03/2004,0.94,0.97,0.98,
10/03/2004,0.94,0.96,0.98,
11/03/2004,0.95,0.95,0.98,
12/03/2004,0.94,0.95,0.99,
15/03/2004,0.95,0.93,1,
16/03/2004,0.94,0.96,0.99,
17/03/2004,0.92,0.93,0.99,
18/03/2004,0.92,0.92,0.98,
19/03/2004,0.92,0.92,0.99,
22/03/2004,0.94,0.93,1,
23/03/2004,0.93,0.95,0.99,
24/03/2004,0.92,0.94,0.98,
25/03/2004,0.92,0.94,0.97,
26/03/2004,0.93,0.93,0.98,
29/03/2004,0.95,0.94,1,
30/03/2004,0.94,0.96,0.99,
31/03/2004,0.93,0.95,0.99,
01/04/2004,0.92,0.94,1,
02/04/2004,0.93,0.92,1.01,
05/04/2004,0.93,0.93,1.04,
06/04/2004,0.92,0.93,1.02,
07/04/2004,0.93,0.93,1.02,
08/04/2004,0.92,0.92,1.02,
09/04/2004,.,.,.,
12/04/2004,0.93,0.91,1.04,
13/04/2004,0.93,0.9,1.06,
14/04/2004,0.94,0.91,1.11,
15/04/2004,0.93,0.91,1.1,
